con_freq,exercise,preknow_5_magn,wtp_1,wtp_2b_584,wtp_2b_793,wtp_3b_info_584,wtp_3b_info_793,after_info_3b_d1_useful,mag_benefit_3b_d1_musle,mag_benefit_3b_d1_cramps,mag_benefit_3b_d1_sugar,mag_benefit_3b_d1_bone,mag_benefit_3b_d1_sleep,wtp_2a_info_584,wtp_2a_info_793,after_info_2a_d1_useful,mag_benefit_2a_d1_muscle,mag_benefit_2a_d1_cramps,mag_benefit_2a_d1_sugar,mag_benefit_2a_d1_bone,mag_benefit_2a_d1_sleep,gender,age,income,randomizer,day,diffB_584,diffB_793,diffA_584,diffA_793,diff_584,diff_793,devB_584_taste,devB_584_info,devB_793_taste,devB_793_info,devA_584_info,devA_793_info,dev_baseline,info_useful,mag_muscle,mag_cramps,mag_sugar,mag_bone,mag_sleep,high_info_useful,high_mag_muscle,high_mag_cramps,high_mag_sugar,high_mag_bone,high_mag_sleep,high_driver_count
2,3,4,4,,,,,,,,,,,3,2.5,3,50,23,35,27,28,1,27,2,3,1,,,-1,-1.5,-1,-1.5,,,,,.5,0,1.5,3,50,23,35,27,28,0,0,0,0,0,0,0
1,3,2,3,,,,,,,,,,,3,2,4,81,61,83,55,75,2,18.5,6,4,1,,,0,-1,0,-1,,,,,.5,-.5,.5,4,81,61,83,55,75,0,1,0,1,0,0,2
2,4,4,3.5,3.5,3.75,3.5,2.25,5,100,90,90,90,96,,,,,,,,,1,18.5,1,1,1,0,-1.5,,,0,-1.5,1,1,1.25,-.25,,,1,5,100,90,90,90,96,1,1,1,1,1,1,6
2,3,4,3,3,2.5,2.5,0,4,100,82,100,19,10,,,,,,,,,1,23,3,2,1,-.5,-2.5,,,-.5,-2.5,.5,0,0,-2.5,,,.5,4,100,82,100,19,10,0,1,1,1,0,0,3
0,2,3,4,,,,,,,,,,,3.75,3.5,4,20,30,60,10,60,2,18.5,2,3,1,,,-.25,-.5,-.25,-.5,,,,,1.25,1,1.5,4,20,30,60,10,60,0,0,0,0,0,0,0
3,3,4,2.5,,,,,,,,,,,2.5,2.25,4,51,51,52,67,67,2,55,3,4,1,,,0,-.25,0,-.25,,,,,0,-.25,0,4,51,51,52,67,67,0,0,0,0,0,0,0
3,4,3,3,3,3,3,3,3,56,52,33,24,80,,,,,,,,,1,18.5,1,2,1,0,0,,,0,0,.5,.5,.5,.5,,,.5,3,56,52,33,24,80,0,0,0,0,0,0,0
2,3,4,3.25,,,,,,,,,,,3.25,3,4,71,70,72,46,72,1,45,5,3,1,,,0,-.25,0,-.25,,,,,.75,.5,.75,4,71,70,72,46,72,0,0,0,0,0,0,0
0,4,2,3,,,,,,,,,,,3,3,5,12,11,65,10,0,1,23,3,4,1,,,0,0,0,0,,,,,.5,.5,.5,5,12,11,65,10,0,1,0,0,0,0,0,1
1,2,4,3,2.75,2.5,3.5,2.5,5,80,91,91,80,77,,,,,,,,,2,18.5,2,1,1,.75,0,,,.75,0,.25,1,0,0,,,.5,5,80,91,91,80,77,1,0,1,1,1,0,4
1,4,2,4.5,2,4.5,2,4.5,3,10,70,10,10,50,,,,,,,,,2,18.5,,2,1,0,0,,,0,0,-.5,-.5,2,2,,,2,3,10,70,10,10,50,0,0,0,0,0,0,0
1,2,3,2.5,3,1.75,3,2.25,4,87,87,96,94,91,,,,,,,,,2,18.5,4,1,1,0,.5,,,0,.5,.5,.5,-.75,-.25,,,0,4,87,87,96,94,91,0,1,1,1,1,1,5
1,4,4,3,,,,,,,,,,,3,2.5,4,80,80,46,27,65,2,20.5,,4,1,,,0,-.5,0,-.5,,,,,.5,0,.5,4,80,80,46,27,65,0,0,0,0,0,0,0
2,3,4,3,3.5,2.5,4,2.25,4,97,100,100,100,100,,,,,,,,,2,20.5,6,1,1,.5,-.25,,,.5,-.25,1,1.5,0,-.25,,,.5,4,97,100,100,100,100,0,1,1,1,1,1,5
3,2,3,4,,,,,,,,,,,4,3.75,4,100,100,100,100,14,2,20.5,2,3,1,,,0,-.25,0,-.25,,,,,1.5,1.25,1.5,4,100,100,100,100,14,0,1,1,1,1,0,4
2,1,5,2.5,2.5,2.5,2.5,1.75,5,62,100,54,94,100,,,,,,,,,1,23,5,2,1,0,-.75,,,0,-.75,0,0,0,-.75,,,0,5,62,100,54,94,100,1,0,1,0,1,1,4
4,3,4,3,,,,,,,,,,,3,3,4,73,66,10,25,,1,55,,4,1,,,0,0,0,0,,,,,.5,.5,.5,4,73,66,10,25,,0,0,0,0,0,,0
2,3,4,3,2.75,3,3.5,3,5,100,100,100,100,100,,,,,,,,,2,23,,2,1,.75,0,,,.75,0,.25,1,.5,.5,,,.5,5,100,100,100,100,100,1,1,1,1,1,1,6
0,3,2,2,2.5,2.5,2.5,2.5,4,51,55,74,72,71,,,,,,,,,1,35,3,2,1,0,0,,,0,0,0,0,0,0,,,-.5,4,51,55,74,72,71,0,0,0,1,1,0,2
1,2,4,3,3,3,3,2.5,4,60,60,75,50,75,,,,,,,,,1,35,6,1,1,0,-.5,,,0,-.5,.5,.5,.5,0,,,.5,4,60,60,75,50,75,0,0,0,1,0,0,1
2,2,4,4,,,,,,,,,,,3,3.5,4,96,80,95,93,75,2,55,5,4,1,,,-1,-.5,-1,-.5,,,,,.5,1,1.5,4,96,80,95,93,75,0,1,0,1,1,0,3
3,3,4,3,1.75,2.5,2.25,2.5,4,91,100,56,75,100,,,,,,,,,2,20.5,,2,1,.5,0,,,.5,0,-.75,-.25,0,0,,,.5,4,91,100,56,75,100,0,1,1,0,1,1,4
1,3,4,2,,,,,,,,,,,2,2,4,,,93,,88,2,55,4,3,1,,,0,0,0,0,,,,,-.5,-.5,-.5,4,,,93,,88,0,,,1,,1,2
3,2,3,2,2,1.25,2,0,1,80,70,61,25,40,,,,,,,,,1,35,4,1,1,0,-1.25,,,0,-1.25,-.5,-.5,-1.25,-2.5,,,-.5,1,80,70,61,25,40,0,0,0,0,0,0,0
2,1,3,3,,,,,,,,,,,3,2,4,81,89,73,80,95,2,20.5,,3,1,,,0,-1,0,-1,,,,,.5,-.5,.5,4,81,89,73,80,95,0,1,1,0,1,1,4
1,2,4,4,,,,,,,,,,,3.25,3,4,20,18,94,94,95,2,18.5,5,3,1,,,-.75,-1,-.75,-1,,,,,.75,.5,1.5,4,20,18,94,94,95,0,0,0,1,1,1,3
0,4,3,2.25,.75,2.5,0,2.75,5,28,22,86,62,73,,,,,,,,,2,18.5,6,2,1,-.75,.25,,,-.75,.25,-1.75,-2.5,0,.25,,,-.25,5,28,22,86,62,73,1,0,0,1,0,0,2
3,3,5,3,2.5,3,3.5,2.5,1,100,100,50,50,100,,,,,,,,,2,20.5,4,2,1,1,-.5,,,1,-.5,0,1,.5,0,,,.5,1,100,100,50,50,100,0,1,1,0,0,1,3
4,4,3,2,,,,,,,,,,,2.5,2,4,67,76,80,86,89,1,18.5,3,3,1,,,.5,0,.5,0,,,,,0,-.5,-.5,4,67,76,80,86,89,0,0,0,1,1,1,3
4,4,5,4.5,4.5,4.5,4.5,3.5,3,,,,,,,,,,,,,,1,20.5,6,1,1,0,-1,,,0,-1,2,2,2,1,,,2,3,,,,,,0,,,,,,0
2,4,4,3.75,,,,,,,,,,,2.5,2.5,3,100,100,100,100,100,2,20.5,1,4,1,,,-1.25,-1.25,-1.25,-1.25,,,,,0,0,1.25,3,100,100,100,100,100,0,1,1,1,1,1,5
2,2,3,2.25,,,,,,,,,,,2.75,2.5,4,30,50,40,30,60,2,18.5,6,4,1,,,.5,.25,.5,.25,,,,,.25,0,-.25,4,30,50,40,30,60,0,0,0,0,0,0,0
3,4,3,4,,,,,,,,,,,3.5,4,1,100,100,100,100,100,2,23,1,3,1,,,-.5,0,-.5,0,,,,,1,1.5,1.5,1,100,100,100,100,100,0,1,1,1,1,1,5
1,3,4,4,3.75,4.25,3.75,4.25,4,86,74,63,55,53,,,,,,,,,1,45,6,2,1,0,0,,,0,0,1.25,1.25,1.75,1.75,,,1.5,4,86,74,63,55,53,0,1,0,0,0,0,1
2,2,4,3,3,2,3,2,1,94,88,93,89,94,,,,,,,,,1,55,,1,1,0,0,,,0,0,.5,.5,-.5,-.5,,,.5,1,94,88,93,89,94,0,1,1,1,1,1,5
